date,소비자물가등락률
2013-02,1.6
2013-03,1.5
2013-04,1.3
2013-05,1.1
2013-06,1.2
2013-07,1.6
2013-08,1.5
2013-09,1
2013-10,0.9
2013-11,1.2
2013-12,1.1
2014-01,1.1
2014-02,1
2014-03,1.3
2014-04,1.5
2014-05,1.7
2014-06,1.7
2014-07,1.6
2014-08,1.4
2014-09,1.1
2014-10,1.1
2014-11,1
2014-12,0.8
2015-01,1
2015-02,0.6
2015-03,0.5
2015-04,0.4
2015-05,0.6
2015-06,0.7
2015-07,0.7
2015-08,0.7
2015-09,0.5
2015-10,0.8
2015-11,0.8
2015-12,1.1
2016-01,0.6
2016-02,1.1
2016-03,0.8
2016-04,1
2016-05,0.8
2016-06,0.7
2016-07,0.4
2016-08,0.5
2016-09,1.3
2016-10,1.5
2016-11,1.5
2016-12,1.3
2017-01,2.2
2017-02,2.1
2017-03,2.3
2017-04,2
2017-05,2
2017-06,1.8
2017-07,2.2
2017-08,2.5
2017-09,2
2017-10,1.8
2017-11,1.2
2017-12,1.4
2018-01,0.8
2018-02,1.3
2018-03,1.2
2018-04,1.5
2018-05,1.5
2018-06,1.5
2018-07,1.1
2018-08,1.4
2018-09,2.1
2018-10,2
2018-11,2
2018-12,1.3
2019-01,0.8
2019-02,0.5
2019-03,0.4
2019-04,0.6
2019-05,0.7
2019-06,0.7
2019-07,0.6
2019-08,0
2019-09,-0.4
2019-10,0
2019-11,0.2
2019-12,0.7
2020-01,1.2
2020-02,0.9
2020-03,0.8
2020-04,0
2020-05,-0.2
2020-06,0.2
2020-07,0.4
2020-08,0.8
2020-09,0.9
2020-10,0.1
2020-11,0.6
2020-12,0.6
2021-01,0.9
2021-02,1.4
2021-03,1.9
2021-04,2.5
2021-05,2.6
2021-06,2.3
2021-07,2.6
2021-08,2.6
2021-09,2.4
2021-10,3.2
2021-11,3.8
2021-12,3.7
2022-01,3.8
2022-02,3.8
2022-03,4.2
2022-04,4.8
2022-05,5.3
2022-06,6
2022-07,6.3
2022-08,5.7
2022-09,5.5
2022-10,5.6
2022-11,5
2022-12,5
2023-01,5
2023-02,4.7
2023-03,4.2
2023-04,3.7
2023-05,3.4
2023-06,2.7
2023-07,2.4
2023-08,3.4
2023-09,3.7
2023-10,3.8
2023-11,3.3
2023-12,3.2
2024-01,2.8
2024-02,3.1
2024-03,3.1
2024-04,2.9
2024-05,2.7
2024-06,2.4
2024-07,2.6
2024-08,2
2024-09,1.6
2024-10,1.3
2024-11,1.5
2024-12,1.9
2025-01,2.2
2025-02,2
2025-03,2.1
2025-04,2.1
2025-05,1.9
2025-06,2.2
2025-07,2.1
2025-08,1.7
2025-09,2.1
2025-10,2.4
2025-11,2.4
2025-12,2.3
2026-01,2
1966-01,7.4
1966-02,7.7
1966-03,8.4
1966-04,8.5
1966-05,8.8
1966-06,9.2
1966-07,9.2
1966-08,9.3
1966-09,9.7
1966-10,10.4
1966-11,10.9
1966-12,11.3
1967-01,13.2
1967-02,12.4
1967-03,12.1
1967-04,12.4
1967-05,12.1
1967-06,11.7
1967-07,11.5
1967-08,11.3
1967-09,11
1967-10,10.8
1967-11,10.8
1967-12,10.9
1968-01,13.1
1968-02,13.2
1968-03,13
1968-04,12.2
1968-05,11.5
1968-06,11.4
1968-07,11.2
1968-08,11
1968-09,10.7
1968-10,10.6
1968-11,10.8
1968-12,10.8
1969-01,11.7
1969-02,11.2
1969-03,10.9
1969-04,11
1969-05,11.1
1969-06,11.2
1969-07,11.2
1969-08,11.3
1969-09,11.6
1969-10,11.9
1969-11,12
